FID	Shape	Borough	Block	Lot	CD	CT2010	CB2010	SchoolDist	Council	ZipCode	FireComp	PolicePrct	HealthArea	SanitBoro	SanitDistr	SanitSub	Address	ZoneDist1	ZoneDist2	ZoneDist3	ZoneDist4	Overlay1	Overlay2	SPDist1	SPDist2	SPDist3	LtdHeight	SplitZone	BldgClass	LandUse	Easements	OwnerType	OwnerName	LotArea	BldgArea	ComArea	ResArea	OfficeArea	RetailArea	GarageArea	StrgeArea	FactryArea	OtherArea	AreaSource	NumBldgs	NumFloors	UnitsRes	UnitsTotal	LotFront	LotDepth	BldgFront	BldgDepth	Ext	ProxCode	IrrLotCode	LotType	BsmtCode	AssessLand	AssessTot	ExemptLand	ExemptTot	YearBuilt	YearAlter1	YearAlter2	HistDist	Landmark	BuiltFAR	ResidFAR	CommFAR	FacilFAR	BoroCode	BBL	CondoNo	Tract2010	XCoord	YCoord	ZoneMap	ZMCode	Sanborn	TaxMap	EDesigNum	APPBBL	APPDate	PLUTOMapID	Version	MAPPLUTO_F	SHAPE_Leng	SHAPE_Area
30387	<geoprocessing describe geometry object object at 0x0F02D5E0>	MN	1640	1	111	 182	5003	04	8	10029	L026	23	2000	1	11	2A	1844 LEXINGTON AVENUE	R7-2	 	 	 	 	 	 	 	 	 	N	D9	03	0	O	NYC HOUSING AUTHORITY	262446	642489	11776	630713	4723	0	0	0	0	7053	2	6	14.0	720	724	705.5	372.0	219.0	122.0	 	1	N	1	2	4499550.0	24127650.0	4499550.0	24127650.0	1947	1985	0	 	 	2.45	3.44	0.0	6.5	1	1016400001.0	0	0182	999879	229768	6b	 	108N064	10603	 	0.0	 	1	16V2	0	2177.21559638	269082.757919
31528	<geoprocessing describe geometry object object at 0x0F02D4E0>	MN	1745	5	111	 184	1001	05	9	10035	E058	25	2000	1	11	2A	5 EAST 118 STREET	R7-2	 	 	 	C1-4	 	 	 	 	 	N	D9	03	0	C	DHS	41372	65510	0	65510	0	0	0	0	0	0	2	1	6.0	175	175	50.0	100.92	235.0	41.0	 	0	N	5	5	292500.0	3210750.0	292500.0	3210750.0	1988	0	0	 	 	1.58	3.44	0.0	6.5	1	1017450005.0	0	0184	999720	231437	6b	 	108N072	10608	 	1017450068.0	01/04/1989	1	16V2	0	1095.76660469	42637.231192
31531	<geoprocessing describe geometry object object at 0x0F02D4E0>	MN	1620	23	111	 184	3001	04	8	10029	E058	23	2000	1	11	2A	1735 MADISON AVENUE	R7-2	 	 	 	C1-4	 	 	 	 	 	N	D9	03	0	O	NYC HOUSING AUTHORITY	271850	662000	0	662000	0	0	0	0	0	0	2	4	19.0	672	672	578.83	400.0	200.0	62.0	 	1	Y	3	2	6300000.0	24435450.0	6300000.0	24435450.0	1961	0	0	 	 	2.44	3.44	0.0	6.5	1	1016200023.0	0	0184	999412	230032	6b	 	108N062	10603	 	0.0	 	1	16V2	0	2446.89763101	259174.921346
31535	<geoprocessing describe geometry object object at 0x0F02D060>	MN	1621	12	111	 184	2001	04	9	10029	E058	25	2000	1	11	2A	21 EAST 115 STREET	R7-2	 	 	 	 	 	 	 	 	 	N	C4	02	0	P	EAST 115 VENTURES LLC	2523	9565	0	9565	0	0	0	0	0	0	2	1	5.0	10	10	25.0	101.0	25.0	82.0	 	2	N	5	2	13008.0	36199.0	0.0	0.0	1930	1986	0	 	 	3.79	3.44	0.0	6.5	1	1016210012.0	0	0184	999279	230640	6b	 	108N071	10603	 	1016210007.0	12/27/1985	1	16V2	0	255.051186268	2550.77050406
31536	<geoprocessing describe geometry object object at 0x0F02D060>	MN	1622	30	111	 184	1004	05	8	10029	L026	25	2000	1	11	2A	89 EAST 116 STREET	R7-2	 	 	 	C1-4	 	 	 	 	 	N	S5	04	0	P	WHITSUN PROPERTY LLC	2523	9765	1000	8765	0	1000	0	0	0	0	2	1	5.0	6	7	25.0	100.92	25.0	86.0	 	2	N	5	2	16877.0	246065.0	0.0	0.0	1910	1987	2009	 	 	3.87	3.44	0.0	6.5	1	1016220030.0	0	0184	999819	230686	6b	 	18N 071	10603	 	0.0	 	1	16V2	0	260.093883055	2652.57532932
31537	<geoprocessing describe geometry object object at 0x0F02D500>	MN	1745	7	111	 184	1001	05	9	10035	E058	25	2000	1	11	2A	9 EAST 118 STREET	R7-2	 	 	 	 	 	 	 	 	 	N	C1	02	0	P	9 EAST 118 STREET LLC	5046	21129	0	21129	0	0	0	0	0	0	2	1	6.0	30	30	50.0	100.92	50.0	88.0	 	1	N	5	2	67950.0	930600.0	0.0	0.0	1926	2014	0	 	 	4.19	3.44	0.0	6.5	1	1017450007.0	0	0184	999580	231416	6b	 	108N072	10608	 	0.0	 	1	16V2	0	311.719949964	5400.73386851
31540	<geoprocessing describe geometry object object at 0x0F02D500>	MN	1623	105	111	 184	1002	05	9	10035	E058	25	2000	1	11	2A	5 EAST 117 STREET	R7-2	 	 	 	 	 	 	 	 	 	N	C0	02	0	 	WOODSIDE, DONNA	2017	3600	0	3600	0	0	0	0	0	0	2	1	4.0	3	3	20.0	100.83	20.0	45.0	 	3	N	5	0	18521.0	51450.0	1550.0	21307.0	2000	0	0	 	 	1.78	3.44	0.0	6.5	1	1016230105.0	0	0184	999430	231200	6b	 	108N072	10603	 	1016230001.0	03/15/2001	1	16V2	0	242.057011378	2037.35312135
31545	<geoprocessing describe geometry object object at 0x0F02D520>	MN	1621	43	111	 184	1005	04	8	10029	L026	25	2000	1	11	2A	68 EAST 116 STREET	R7-2	 	 	 	C1-4	 	 	 	 	 	N	K1	05	0	P	GARFIELD ETAL	6055	6000	6000	0	0	6000	0	0	0	0	2	1	1.0	0	1	60.0	100.92	60.0	100.0	 	3	N	5	0	217800.0	261450.0	0.0	0.0	1957	0	0	 	 	0.99	3.44	0.0	6.5	1	1016210043.0	0	0184	999699	230527	6b	 	108N071	10603	 	0.0	 	1	16V2	0	323.827927526	6098.41516753
31549	<geoprocessing describe geometry object object at 0x0F02DC20>	MN	1621	63	111	 184	2001	04	9	10029	E058	25	2000	1	11	2A	16 EAST 116 STREET	R7-2	 	 	 	C1-4	 	 	 	 	 	N	C7	04	0	P	16 EAST 116 LLC	2523	8350	1670	6680	0	1670	0	0	0	0	2	1	5.0	12	13	25.0	100.92	25.0	74.0	 	3	N	5	2	25650.0	549450.0	0.0	0.0	1920	1986	0	 	 	3.31	3.44	0.0	6.5	1	1016210063.0	0	0184	999285	230754	6b	 	108N071	10603	 	0.0	 	1	16V2	0	258.416862169	2636.73745716
31552	<geoprocessing describe geometry object object at 0x0F02DC20>	MN	1623	226	111	 184	1003	05	9	10035	L026	25	2000	1	11	2A	55 EAST 117 STREET	R7-2	 	 	 	 	 	 	 	 	 	N	C0	02	0	 	OUTLAW JANENE	2119	3864	0	3864	0	0	0	0	0	0	2	2	4.0	3	3	21.0	100.92	21.0	45.0	 	3	N	5	0	26186.0	60169.0	1550.0	25338.0	2002	0	0	 	 	1.82	3.44	0.0	6.5	1	1016230226.0	0	0184	999882	230952	6b	 	18N 072	10603	 	1016230027.0	02/21/2003	1	16V2	0	248.972762013	2213.75978135
