FID	Shape	Borough	Block	Lot	CD	CT2010	CB2010	SchoolDist	Council	ZipCode	FireComp	PolicePrct	HealthArea	SanitBoro	SanitDistr	SanitSub	Address	ZoneDist1	ZoneDist2	ZoneDist3	ZoneDist4	Overlay1	Overlay2	SPDist1	SPDist2	SPDist3	LtdHeight	SplitZone	BldgClass	LandUse	Easements	OwnerType	OwnerName	LotArea	BldgArea	ComArea	ResArea	OfficeArea	RetailArea	GarageArea	StrgeArea	FactryArea	OtherArea	AreaSource	NumBldgs	NumFloors	UnitsRes	UnitsTotal	LotFront	LotDepth	BldgFront	BldgDepth	Ext	ProxCode	IrrLotCode	LotType	BsmtCode	AssessLand	AssessTot	ExemptLand	ExemptTot	YearBuilt	YearAlter1	YearAlter2	HistDist	Landmark	BuiltFAR	ResidFAR	CommFAR	FacilFAR	BoroCode	BBL	CondoNo	Tract2010	XCoord	YCoord	ZoneMap	ZMCode	Sanborn	TaxMap	EDesigNum	APPBBL	APPDate	PLUTOMapID	Version	MAPPLUTO_F	SHAPE_Leng	SHAPE_Area
10853	<geoprocessing describe geometry object object at 0x0F02DA20>	MN	737	1	104	 115	2005	02	3	10018	L021	10	4500	1	04	2A	        WEST 39 STREET	C2-8	R8A	 	 	C2-5	 	HY	 	 	 	Y	U1	07	0	 	PORT AUTHORITY NY&NJ	0	0	0	0	0	0	0	0	0	0	7	0	0.0	0	0	197.5	400.0	0.0	0.0	 	0	Y	3	5	0.0	0.0	0.0	0.0	0	0	0	 	 	0.0	10.0	2.0	10.0	1	1007370001.0	0	0115	985397	215330	8d	 	105S030	10302	 	0.0	 	1	16V2	0	1210.51224244	78498.3585132
11378	<geoprocessing describe geometry object object at 0x0F02D840>	MN	736	73	104	 115	2006	02	3	10018	L021	10	4500	1	04	2A	        10 AVENUE	C2-8	R8A	 	 	C2-5	 	HY	 	 	 	Y	U4	07	0	 	PORT OF NY AUTH	0	0	0	0	0	0	0	0	0	0	7	0	0.0	0	0	57.5	500.0	0.0	0.0	 	0	Y	3	5	0.0	0.0	0.0	0.0	0	0	0	 	 	0.0	10.0	2.0	10.0	1	1007360073.0	0	0115	985369	215066	8d	 	105S030	10302	E-137	0.0	 	1	16V2	0	1301.27632599	74571.5466098
11390	<geoprocessing describe geometry object object at 0x0F02D0C0>	MN	736	1	104	 115	2008	02	3	10018	L021	10	4500	1	04	2A	502 10 AVENUE	C2-8	R8A	 	 	C2-5	 	HY	 	 	 	Y	U1	07	0	P	500 LINCOLN LLC	42000	0	0	0	0	0	0	0	0	0	7	1	0.0	0	0	140.0	300.0	0.0	0.0	 	0	N	3	5	0.0	0.0	0.0	0.0	0	0	0	 	 	0.0	10.0	2.0	10.0	1	1007360001.0	0	0115	985170	215104	8d	 	105S030	10302	E-137	0.0	 	1	16V2	0	786.591700569	24958.6721026
13926	<geoprocessing describe geometry object object at 0x0F02D920>	MN	737	22	104	 115	2004	02	3	10018	L021	10	4500	1	04	2A	413 WEST 39 STREET	C1-7A	R8A	 	 	C2-5	 	HY	 	 	 	Y	U1	07	0	 	PORT OF N Y AUTH	24688	0	0	0	0	0	0	0	0	0	7	1	0.0	0	0	125.0	197.5	0.0	0.0	 	0	N	5	5	0.0	0.0	0.0	0.0	0	0	0	 	 	0.0	6.02	2.0	6.5	1	1007370022.0	0	0115	985719	215150	8d	 	105S030	10302	 	0.0	 	1	16V2	0	642.668400573	24262.4410869
13935	<geoprocessing describe geometry object object at 0x0F02D520>	MN	1050	29	104	 115	2003	02	3	10018	L021	10	4500	1	04	2A	541 9 AVENUE	C1-7A	 	 	 	 	 	HY	 	 	 	N	C7	04	0	P	CLINTON HOUSING WEST4	11100	37775	3500	34275	0	3500	0	0	0	0	2	7	5.0	70	82	74.0	150.0	18.0	76.0	 	0	Y	3	5	481500.0	2437200.0	0.0	0.0	1890	1988	1998	 	 	3.4	6.02	2.0	6.5	1	1010500029.0	0	0115	985956	215242	8d	 	105N041	10404	 	0.0	 	1	16V2	0	457.028706464	11585.425205
13945	<geoprocessing describe geometry object object at 0x0F02DEA0>	MN	762	3	104	 115	1003	02	3	10018	L021	14	4500	1	04	2A	506 9 AVENUE	C1-7A	 	 	 	 	 	HY	 	 	 	N	D9	03	0	P	PEC	4934	25230	4205	21025	0	2097	0	0	0	0	2	2	6.0	44	48	49.34	100.0	24.67	85.0	 	0	N	5	2	333000.0	2517300.0	0.0	0.0	1920	1987	0	 	 	5.11	6.02	2.0	6.5	1	1007620003.0	0	0115	985917	214718	8d	 	105N032	10304	 	1007620003.0	11/02/2009	1	16V2	0	303.493959659	5065.36909643
13958	<geoprocessing describe geometry object object at 0x0F02DA40>	MN	1033	36	104	 121	1001	02	3	10036	E054	14	4500	1	04	3A	671 8 AVENUE	C6-4	 	 	 	 	 	CL	MID	 	 	Y	O5	05	0	P	300 WEST 43RD STREET,	12552	72039	72038	0	59538	12500	0	0	0	0	2	2	6.0	0	10	100.42	125.0	100.0	125.0	 	3	N	3	2	2394000.0	4882500.0	0.0	0.0	1928	1982	0	 	 	5.74	10.0	10.0	10.0	1	1010330036.0	0	0121	987079	215389	8d	 	105N043	10403	 	0.0	 	1	16V2	0	462.197358275	13205.0607292
13968	<geoprocessing describe geometry object object at 0x0F02DAC0>	MN	1034	29	104	 121	1000	02	3	10036	E054	14	4500	1	04	3A	681 8 AVENUE	C6-4	 	 	 	 	 	CL	MID	 	 	Y	J9	05	0	P	PALACE FUNDING INC.	6000	24000	24000	0	0	7920	0	0	0	16080	2	1	3.0	0	8	60.0	100.0	60.0	100.0	 	2	N	3	2	958500.0	3121650.0	0.0	0.0	1929	1998	0	 	 	4.0	10.0	10.0	10.0	1	1010340029.0	0	0121	987156	215504	8d	 	105N044	10403	 	0.0	 	1	16V2	0	338.231828907	6773.85655689
13983	<geoprocessing describe geometry object object at 0x0F02D3C0>	MN	1033	25	104	 121	1001	02	3	10036	E054	14	4500	1	04	3A	305 WEST 42 STREET	C6-4	C6-2	 	 	 	 	CL	MID	 	 	Y	O3	05	0	 	ARDEON REALTY CORP	15975	62416	62416	0	62416	0	0	0	0	0	2	1	13.0	0	1	92.0	200.83	67.0	100.0	 	2	Y	4	2	2659500.0	5979600.0	0.0	0.0	1970	0	0	 	 	3.91	10.0	10.0	10.0	1	1010330025.0	0	0121	986970	215380	8d	 	105N043	10403	E-137	0.0	 	1	16V2	0	605.996644238	17007.3704437
13984	<geoprocessing describe geometry object object at 0x0F02D1E0>	MN	736	31	104	 115	2006	02	3	10018	L021	10	4500	1	04	2A	507 9 AVENUE	C1-7A	 	 	 	 	 	HY	 	 	 	N	C7	04	0	P	509 NINTH AVENUE, LL	1681	7865	1500	6365	0	1500	0	0	0	0	2	1	5.0	8	9	22.42	75.0	22.0	68.0	E	3	N	3	2	94934.0	338096.0	0.0	0.0	1920	1986	2004	 	 	4.68	6.02	2.0	6.5	1	1007360031.0	0	0115	985726	214752	8d	 	105S030	10302	E-137	0.0	 	1	16V2	0	206.408239214	1933.64547236
