FID	Shape	Borough	Block	Lot	CD	CT2010	CB2010	SchoolDist	Council	ZipCode	FireComp	PolicePrct	HealthArea	SanitBoro	SanitDistr	SanitSub	Address	ZoneDist1	ZoneDist2	ZoneDist3	ZoneDist4	Overlay1	Overlay2	SPDist1	SPDist2	SPDist3	LtdHeight	SplitZone	BldgClass	LandUse	Easements	OwnerType	OwnerName	LotArea	BldgArea	ComArea	ResArea	OfficeArea	RetailArea	GarageArea	StrgeArea	FactryArea	OtherArea	AreaSource	NumBldgs	NumFloors	UnitsRes	UnitsTotal	LotFront	LotDepth	BldgFront	BldgDepth	Ext	ProxCode	IrrLotCode	LotType	BsmtCode	AssessLand	AssessTot	ExemptLand	ExemptTot	YearBuilt	YearAlter1	YearAlter2	HistDist	Landmark	BuiltFAR	ResidFAR	CommFAR	FacilFAR	BoroCode	BBL	CondoNo	Tract2010	XCoord	YCoord	ZoneMap	ZMCode	Sanborn	TaxMap	EDesigNum	APPBBL	APPDate	PLUTOMapID	Version	MAPPLUTO_F	SHAPE_Leng	SHAPE_Area
12748	<geoprocessing describe geometry object object at 0x0F02D940>	MN	930	38	106	  66	6000	02	2	10010	E016	13	5800	1	06	1B	334 EAST 25 STREET	R8	 	 	 	 	 	 	 	 	 	N	H8	08	0	X	NEW YORK UNIVERSITY	7406	37800	0	0	0	0	0	0	0	0	2	1	6.0	0	1	75.0	98.75	75.0	84.25	 	3	N	5	2	1665000.0	3786750.0	1665000.0	3786750.0	1920	1986	0	 	 	5.1	6.02	0.0	6.5	1	1009300038.0	0	0066	990211	208261	8d	 	104 009	10309	 	0.0	 	1	16V2	0	359.88048196	7916.7166351
12793	<geoprocessing describe geometry object object at 0x0F02D3E0>	MN	930	12	106	  66	6000	02	2	10010	E016	13	5800	1	06	1B	319 EAST 24 STREET	R8	 	 	 	 	 	 	 	 	 	N	D4	03	0	P	EAST MIDTOWN PLAZA	47394	265541	0	265541	0	0	0	0	0	0	2	2	28.0	236	236	245.0	197.5	208.0	175.0	 	1	Y	4	2	3897000.0	18769950.0	3897000.0	18769950.0	1975	0	0	 	 	5.6	6.02	0.0	6.5	1	1009300012.0	0	0066	990026	208289	8d	 	104 009	10309	 	0.0	 	1	16V2	0	987.379341762	47735.3315474
12850	<geoprocessing describe geometry object object at 0x0F02D060>	MN	930	42	106	  66	6000	02	2	10010	E016	13	5800	1	06	1B	328 EAST 25 STREET	R8	 	 	 	 	 	 	 	 	 	N	S9	04	0	 	328 EAST REALTY,	2469	5375	1185	4190	0	1185	0	0	0	0	2	1	2.0	2	4	25.0	98.75	22.0	40.0	E	0	N	5	5	215450.0	453788.0	0.0	0.0	1910	0	0	 	 	2.18	6.02	0.0	6.5	1	1009300042.0	0	0066	990144	208298	8d	 	104 009	10309	 	0.0	 	1	16V2	0	255.584253779	2529.29744416
13044	<geoprocessing describe geometry object object at 0x0F02D1C0>	MN	930	20	106	  66	6000	02	2	10010	E016	13	5800	1	06	1B	335 EAST 24 STREET	R8	 	 	 	C2-5	 	 	 	 	 	N	W6	08	0	P	NEW YORK UNIVERSITY	23777	180102	180102	0	180102	0	0	0	0	0	2	1	11.0	0	4	98.75	225.0	150.0	77.67	 	2	Y	3	2	3262500.0	15571800.0	3262500.0	15571800.0	1977	2009	2009	 	 	7.57	6.02	0.0	6.5	1	1009300020.0	0	0066	990235	208145	8d	Y	104 009	10309	 	0.0	 	1	16V2	0	870.624859595	25171.8591244
13053	<geoprocessing describe geometry object object at 0x0F02D320>	MN	930	41	106	  66	6000	02	2	10010	E016	13	5800	1	06	1B	330 EAST 25 STREET	R8	 	 	 	 	 	 	 	 	 	N	H8	08	0	P	NEW YORK UNIVERSITY	2469	9595	0	0	0	0	0	0	0	0	2	2	5.0	0	1	25.0	98.75	25.0	70.0	 	0	N	5	5	553500.0	1071000.0	553500.0	1071000.0	1910	0	0	 	 	3.89	6.02	0.0	6.5	1	1009300041.0	0	0066	990166	208286	8d	 	104 009	10309	 	0.0	 	1	16V2	0	257.994043829	2653.7971365
13247	<geoprocessing describe geometry object object at 0x0F02D080>	MN	930	43	106	  66	6000	02	2	10010	E016	13	5800	1	06	1B	326 EAST 25 STREET	R8	 	 	 	 	 	 	 	 	 	N	C6	02	0	 	E 25 ST STUDIO CORP	2469	7220	0	7220	0	0	0	0	0	0	2	1	5.0	19	19	25.0	98.75	25.0	54.0	 	3	N	5	2	135000.0	649800.0	0.0	0.0	1910	0	0	 	 	2.92	6.02	0.0	6.5	1	1009300043.0	0	0066	990123	208309	8d	 	104 009	10309	 	0.0	 	1	16V2	0	254.483944852	2472.46056762
13273	<geoprocessing describe geometry object object at 0x0F02D4C0>	MN	912	56	106	  70	2000	02	2	10016	L007	17	5800	1	06	2A	216 EAST 32 STREET	R7B	 	 	 	 	 	 	 	 	 	N	C2	02	0	 	KPR PROPERTIES, LLC	1852	3752	0	3752	0	0	0	0	0	0	2	1	3.0	5	5	18.75	98.75	19.0	48.0	 	3	N	5	5	115309.0	385578.0	0.0	0.0	1900	1988	2008	 	 	2.03	3.0	0.0	3.0	1	1009120056.0	0	0070	990245	210302	8d	 	104 021	10308	 	0.0	 	1	16V2	0	240.451594775	1930.09682097
13278	<geoprocessing describe geometry object object at 0x0F02D7A0>	MN	908	1	106	  66	2001	02	2	10016	E016	13	5800	1	06	2A	375 3 AVENUE	C2-8	 	 	 	 	 	 	 	 	 	N	K4	04	0	P	CULINARY ASSOCIATES L	1400	3560	1960	1600	0	1960	0	0	0	0	2	1	3.0	3	4	20.0	70.0	20.0	40.0	E	2	N	3	2	272700.0	1012050.0	0.0	0.0	1910	1987	0	 	 	2.54	10.0	2.0	10.0	1	1009080001.0	0	0066	989520	209365	8d	 	104 008	10308	 	0.0	 	1	16V2	0	186.746103748	1552.95396888
13279	<geoprocessing describe geometry object object at 0x0F02D1A0>	MN	908	4	106	  66	2001	02	2	10016	E016	13	5800	1	06	2A	381 3 AVENUE	C2-8	 	 	 	 	 	 	 	 	 	N	K4	04	0	 	CHUSEN REALTY INC	1359	2934	2934	0	0	2934	0	0	0	0	2	1	3.0	0	1	19.42	70.0	19.42	70.0	E	3	N	5	2	139050.0	386100.0	0.0	0.0	1920	0	0	 	 	2.16	10.0	2.0	10.0	1	1009080004.0	0	0066	989550	209417	8d	 	104 008	10308	 	0.0	 	1	16V2	0	180.437492404	1342.4092738
13281	<geoprocessing describe geometry object object at 0x0F02D0C0>	MN	905	35	106	  66	5000	02	2	10010	E016	13	5800	1	06	1B	242 EAST 25 STREET	C1-8A	R8B	 	 	 	 	 	 	 	 	Y	D1	03	0	 	QIN, ALEXANDRA	5728	48020	0	48020	0	0	0	0	0	0	2	1	13.0	54	54	58.0	98.75	58.0	75.0	 	3	N	5	2	2160000.0	5923800.0	0.0	1125000.0	2004	0	0	 	 	8.38	7.52	2.0	7.5	1	1009050035.0	0	0066	989640	208576	8d	 	104 007	10308	 	0.0	 	1	16V2	0	316.664955949	5846.74115885
13282	<geoprocessing describe geometry object object at 0x0F02D940>	MN	884	7	105	  72	3002	02	2	10016	E016	13	5300	1	05	1B	107 EAST 28 STREET	C4-5A	C6-4A	 	 	 	 	 	 	 	 	Y	U2	07	0	 	CON ED OF NY	0	0	0	0	0	0	0	0	0	0	7	1	0.0	0	0	135.0	197.5	0.0	0.0	 	0	Y	5	5	0.0	0.0	0.0	0.0	0	0	0	 	 	0.0	4.0	4.0	4.0	1	1008840007.0	0	0072	988919	210088	8d	 	104 019	10307	 	0.0	 	1	16V2	0	672.639569549	24053.5026305
13283	<geoprocessing describe geometry object object at 0x0F02D060>	MN	911	55	106	  70	2001	02	2	10016	L007	17	5800	1	06	2A	216 EAST 31 STREET	R7B	 	 	 	 	 	 	 	 	 	N	A4	01	0	P	GATTANI, PAVAN	1975	3120	0	3120	0	0	0	0	0	0	2	1	4.0	1	1	20.0	98.75	20.0	51.0	 	3	N	5	2	86696.0	174182.0	0.0	0.0	1899	0	0	 	 	1.58	3.0	0.0	3.0	1	1009110055.0	0	0070	990117	210078	8d	 	104 021	10308	 	0.0	 	1	16V2	0	244.250356826	1989.62572519
13284	<geoprocessing describe geometry object object at 0x0F02D320>	MN	886	13	105	  72	3000	02	2	10016	L007	14	5300	1	05	1A	117 EAST 30 STREET	C4-5A	 	 	 	 	 	 	 	 	 	N	O2	05	0	 	WORTHINGTON L P	1821	5462	5462	0	5462	0	0	0	0	0	2	1	4.0	0	2	18.67	98.75	18.67	65.0	 	3	N	5	1	364500.0	1216800.0	0.0	0.0	1910	0	0	 	 	3.0	4.0	4.0	4.0	1	1008860013.0	0	0072	989164	210488	8d	 	104 019	10307	 	0.0	 	1	16V2	0	248.635064401	2040.20287741
13287	<geoprocessing describe geometry object object at 0x0F02D4C0>	MN	906	38	106	  66	4000	02	2	10010	E016	13	5800	1	06	1B	232 EAST 26 STREET	R8B	 	 	 	 	 	 	 	 	 	N	C4	02	0	 	LINWARD REALTY CORP	2716	10755	0	10755	0	0	0	0	0	0	2	1	5.0	22	22	27.5	98.75	28.0	87.0	 	3	N	5	1	108450.0	1183050.0	0.0	0.0	1920	0	0	 	 	3.96	4.0	0.0	4.0	1	1009060038.0	0	0066	989710	208833	8d	 	104 007	10308	 	0.0	 	1	16V2	0	259.559055753	2781.53140619
13290	<geoprocessing describe geometry object object at 0x0F02D1A0>	MN	909	12	106	  66	1000	02	2	10016	E016	13	5800	1	06	2A	223 EAST 28 STREET	R8B	 	 	 	 	 	 	 	 	 	N	C4	02	0	 	221-223 E. 28TH ST.LL	2469	9445	0	9445	0	0	0	0	0	0	2	1	5.0	20	20	25.0	98.75	25.0	88.0	 	3	N	5	2	77400.0	656100.0	0.0	0.0	1920	1960	0	 	 	3.83	4.0	0.0	4.0	1	1009090012.0	0	0066	989879	209505	8d	 	104 008	10308	 	0.0	 	1	16V2	0	252.355446966	2487.23027053
13291	<geoprocessing describe geometry object object at 0x0F02D1A0>	MN	884	7502	105	  72	3002	02	2	10016	E016	13	5300	1	05	 	138 LEXINGTON AVENUE	C6-2A	 	 	 	 	 	 	 	 	 	N	R6	02	0	 	 	1320	3442	0	3442	0	0	0	0	0	0	2	1	4.0	2	2	16.25	81.0	16.25	52.0	 	0	N	0	5	12118.0	66393.0	1550.0	1550.0	1920	1962	2005	 	 	2.61	6.02	6.0	6.5	1	1008847502.0	2212	0072	989141	210057	8d	 	104 019	10307	 	1008840069.0	12/16/2010	1	16V2	7	200.462410202	1415.573026
