FID	Shape	Borough	Block	Lot	CD	CT2010	CB2010	SchoolDist	Council	ZipCode	FireComp	PolicePrct	HealthArea	SanitBoro	SanitDistr	SanitSub	Address	ZoneDist1	ZoneDist2	ZoneDist3	ZoneDist4	Overlay1	Overlay2	SPDist1	SPDist2	SPDist3	LtdHeight	SplitZone	BldgClass	LandUse	Easements	OwnerType	OwnerName	LotArea	BldgArea	ComArea	ResArea	OfficeArea	RetailArea	GarageArea	StrgeArea	FactryArea	OtherArea	AreaSource	NumBldgs	NumFloors	UnitsRes	UnitsTotal	LotFront	LotDepth	BldgFront	BldgDepth	Ext	ProxCode	IrrLotCode	LotType	BsmtCode	AssessLand	AssessTot	ExemptLand	ExemptTot	YearBuilt	YearAlter1	YearAlter2	HistDist	Landmark	BuiltFAR	ResidFAR	CommFAR	FacilFAR	BoroCode	BBL	CondoNo	Tract2010	XCoord	YCoord	ZoneMap	ZMCode	Sanborn	TaxMap	EDesigNum	APPBBL	APPDate	PLUTOMapID	Version	MAPPLUTO_F	SHAPE_Leng	SHAPE_Area
946	<geoprocessing describe geometry object object at 0x0F02DDE0>	MN	200	28	103	  29	2002	02	1	10013	E009	5	7700	1	03	1A	63 MOTT STREET	C6-1	 	 	 	 	 	 	 	 	 	N	C7	04	0	P	SAI FON REALTY CORP	2500	13200	3300	9900	1100	2200	0	0	0	0	2	1	6.0	19	23	25.0	100.5	25.0	88.0	 	3	Y	5	2	112500.0	636300.0	0.0	0.0	1910	1985	0	 	 	5.28	3.44	6.0	6.5	1	1002000028.0	0	0029	984669	200178	12c	 	101S032	10105	 	0.0	 	1	16V2	0	255.698901107	2565.05364663
947	<geoprocessing describe geometry object object at 0x0F02D4E0>	MN	164	3	103	  29	1006	02	1	10013	E009	5	7700	1	03	1A	34 MULBERRY STREET	C6-1	 	 	 	 	 	 	 	 	 	N	C7	04	0	P	NG FOOK REALTY, INC.	5430	22052	5000	17052	0	5000	0	0	0	0	2	2	6.0	27	28	67.58	84.42	68.0	73.0	 	3	Y	5	2	366750.0	1963800.0	0.0	0.0	1915	0	0	 	 	4.06	3.44	6.0	6.5	1	1001640003.0	0	0029	984416	199668	12d	 	101S032	10105	 	0.0	 	1	16V2	0	306.361354967	5722.4883314
950	<geoprocessing describe geometry object object at 0x0F02D820>	MN	199	7	103	  29	2001	02	1	10013	E009	5	7700	1	03	3A	91 BAXTER STREET	C6-1	 	 	 	 	 	 	 	 	 	N	C7	04	0	 	CARBAX RLTY CORP	5060	27528	5000	22528	0	5000	0	0	0	0	2	2	7.0	44	45	50.0	101.0	25.0	90.0	 	0	N	5	5	311400.0	1173600.0	0.0	0.0	1880	1985	0	 	 	5.44	3.44	6.0	6.5	1	1001990007.0	0	0029	984405	200451	12c	 	101S031	10105	 	0.0	 	1	16V2	0	310.314880593	5263.07360913
951	<geoprocessing describe geometry object object at 0x0F02D7C0>	MN	276	43	103	   8	3000	02	1	10002	E009	5	7800	1	03	1A	90 MADISON STREET	R7-2	 	 	 	 	 	 	 	 	 	N	G6	10	0	 	FIRST CHINESE PRES CH	5000	0	0	0	0	0	0	0	0	0	7	1	0.0	0	0	50.0	100.0	0.0	0.0	 	0	N	5	5	636750.0	636750.0	0.0	0.0	0	0	0	 	 	0.0	3.44	0.0	6.5	1	1002760043.0	0	0008	985381	198662	12d	 	101S028	10107	 	0.0	 	1	16V2	0	308.352363445	5208.80748599
952	<geoprocessing describe geometry object object at 0x0F02DBC0>	MN	162	49	103	  29	3004	02	1	10013	E009	5	7700	1	03	1A	17 PELL STREET	C6-1	 	 	 	 	 	 	 	 	 	N	S9	04	0	P	SUN WEI ASSN INC	1061	5250	2100	3150	1050	1050	0	0	0	0	2	1	5.0	3	8	21.33	50.17	21.0	50.0	 	2	Y	3	2	151283.0	454779.0	0.0	0.0	1915	1961	0	 	 	4.95	3.44	6.0	6.5	1	1001620049.0	0	0029	984806	199662	12d	 	101S032	10105	 	0.0	 	1	16V2	0	145.486012871	1083.45933782
954	<geoprocessing describe geometry object object at 0x0F02DB40>	MN	279	63	103	  27	1003	02	1	10038	E009	5	7800	1	03	1A	5 EAST BROADWAY	C6-1G	 	 	 	 	 	TA	 	 	 	N	K4	04	0	 	FIVE EAST BROADWAY, L	1925	6491	6491	0	2000	3245	0	0	0	1246	2	1	4.0	0	4	25.25	78.0	25.0	78.0	E	3	Y	5	2	198000.0	577350.0	0.0	0.0	1910	0	0	 	 	3.37	3.44	6.0	6.5	1	1002790063.0	0	0027	984881	199120	12d	 	101S029	10107	 	0.0	 	1	16V2	0	206.744010601	1925.20842366
956	<geoprocessing describe geometry object object at 0x0F02DBE0>	MN	276	54	103	   8	3000	02	1	10038	E009	5	7800	1	03	1A	47 CATHERINE STREET	R7-2	 	 	 	C1-5	 	 	 	 	 	N	C7	04	0	 	P & I PROPERTY LLC	3470	11106	2500	8606	0	2500	0	0	0	0	2	1	5.0	16	18	29.58	117.33	30.0	96.0	 	3	Y	5	2	195750.0	774900.0	0.0	0.0	1900	0	0	 	 	3.2	3.44	0.0	6.5	1	1002760054.0	0	0008	985198	198629	12d	 	101S028	10107	 	0.0	 	1	16V2	0	296.358370922	3454.21941829
957	<geoprocessing describe geometry object object at 0x0F02DDA0>	MN	201	9	103	  29	3001	02	1	10013	E009	5	7700	1	03	1A	72 MOTT STREET	C6-1	 	 	 	 	 	 	 	 	 	N	C7	04	0	 	MOTT STREET 72 REALTY	2350	9445	1750	7695	0	1750	0	0	0	0	2	1	5.0	15	16	25.0	94.0	25.0	72.0	 	3	N	5	2	103050.0	881100.0	0.0	0.0	1900	0	0	 	 	4.02	3.44	6.0	6.5	1	1002010009.0	0	0029	984853	200231	12c	 	101S032	10105	 	0.0	 	1	16V2	0	238.177905281	2339.82175294
960	<geoprocessing describe geometry object object at 0x0F02D040>	MN	162	10	103	  29	3003	02	1	10013	E009	5	7700	1	03	1A	18 MOTT STREET	C6-1	 	 	 	 	 	 	 	 	 	N	S9	04	0	P	P & L YU, LLC	2375	10525	4370	6155	2185	2185	0	0	0	0	2	1	5.0	6	9	23.33	104.08	23.0	95.0	 	3	Y	5	2	155204.0	543400.0	0.0	0.0	1920	1987	0	 	 	4.43	3.44	6.0	6.5	1	1001620010.0	0	0029	984665	199520	12d	 	101S032	10105	 	0.0	 	1	16V2	0	251.774433089	2220.9648346
964	<geoprocessing describe geometry object object at 0x0F02D940>	MN	200	22	103	  29	2002	02	1	10013	E009	5	7700	1	03	1A	73 MOTT STREET	C6-1	 	 	 	 	 	 	 	 	 	N	C7	04	0	P	LUN WOO CO INC	2278	11112	2038	9074	0	2038	0	0	0	0	2	2	5.0	16	18	37.67	100.5	38.0	74.0	 	3	N	5	2	154350.0	809550.0	0.0	0.0	1915	0	0	 	 	4.88	3.44	6.0	6.5	1	1002000022.0	0	0029	984724	200278	12c	 	101S032	10105	 	0.0	 	1	16V2	0	282.293146638	3124.04992019
