FID	Shape	Borough	Block	Lot	CD	CT2010	CB2010	SchoolDist	Council	ZipCode	FireComp	PolicePrct	HealthArea	SanitBoro	SanitDistr	SanitSub	Address	ZoneDist1	ZoneDist2	ZoneDist3	ZoneDist4	Overlay1	Overlay2	SPDist1	SPDist2	SPDist3	LtdHeight	SplitZone	BldgClass	LandUse	Easements	OwnerType	OwnerName	LotArea	BldgArea	ComArea	ResArea	OfficeArea	RetailArea	GarageArea	StrgeArea	FactryArea	OtherArea	AreaSource	NumBldgs	NumFloors	UnitsRes	UnitsTotal	LotFront	LotDepth	BldgFront	BldgDepth	Ext	ProxCode	IrrLotCode	LotType	BsmtCode	AssessLand	AssessTot	ExemptLand	ExemptTot	YearBuilt	YearAlter1	YearAlter2	HistDist	Landmark	BuiltFAR	ResidFAR	CommFAR	FacilFAR	BoroCode	BBL	CondoNo	Tract2010	XCoord	YCoord	ZoneMap	ZMCode	Sanborn	TaxMap	EDesigNum	APPBBL	APPDate	PLUTOMapID	Version	MAPPLUTO_F	SHAPE_Leng	SHAPE_Area
26722	<geoprocessing describe geometry object object at 0x0F02C900>	MN	1690	1	111	 162	5010	04	8	10029	L043	23	2600	1	11	1B	1860 1 AVENUE	PARK	 	 	 	 	 	 	 	 	 	N	Q1	09	0	C	PARKS AND RECREATION	25850	400	400	0	0	0	0	0	0	400	7	0	0.0	0	1	201.0	122.75	0.0	0.0	 	0	Y	3	5	436500.0	436500.0	436500.0	436500.0	0	0	0	 	 	0.02	0.0	0.0	0.0	1	1016900001.0	0	0162	999731	224718	6b	 	108S042	10606	 	0.0	 	1	16V2	0	658.836002979	25754.837705
26917	<geoprocessing describe geometry object object at 0x0F02CA20>	MN	1668	1	111	 156.02	1003	04	8	10029	L043	23	3300	1	11	1B	1860 2 AVENUE	R10	R7-2	 	 	 	 	TA	 	 	 	Y	W1	08	0	C	DCAS/DEPARTMENT OF ED	131190	94000	94000	0	0	0	0	0	0	94000	2	2	4.0	0	2	201.83	650.0	190.0	304.0	 	1	N	1	0	5580000.0	9801900.0	5580000.0	9801900.0	1942	1980	0	 	 	0.72	10.0	0.0	10.0	1	1016680001.0	0	015602	999301	224955	6b	 	108S048	10605	 	0.0	 	1	16V2	0	1704.09125052	131653.207491
29591	<geoprocessing describe geometry object object at 0x0F02CE60>	MN	1603	53	111	 160.02	2000	02	4	10029	E053	23	2820	1	11	1A	1407 MADISON AVENUE	R7-2	 	 	 	C1-5	 	 	 	 	 	N	C7	04	0	 	MSMC RESIDENTIAL REAL	2375	8945	1500	7445	0	1500	0	0	0	0	2	1	5.0	8	10	25.0	95.0	25.0	80.0	 	3	N	5	2	111478.0	144803.0	21152.0	37822.0	1920	0	0	 	 	3.77	3.44	0.0	6.5	1	1016030053.0	0	016002	997224	226418	6b	 	108S043	10602	 	0.0	 	1	16V2	0	249.246111956	2525.88736203
29592	<geoprocessing describe geometry object object at 0x0F02CA20>	MN	1603	11	111	 160.02	2001	02	4	10029	E053	23	2820	1	11	1A	15 EAST 97 STREET	R7-2	 	 	 	C1-5	 	 	 	 	 	N	M1	08	0	X	RUSSN ST NICHOLAS CAT	7569	7832	4376	3456	0	0	0	0	0	4376	2	2	3.0	0	2	75.0	100.92	75.0	78.0	 	3	N	5	2	666000.0	1418850.0	666000.0	1418850.0	1902	0	0	 	ST. NICHOLAS RUSSIAN ORTHODOX CATHE	1.03	3.44	0.0	6.5	1	1016030011.0	0	016002	996966	226487	6b	 	108S043	10602	 	0.0	 	1	16V2	0	356.8449586	7748.9424147
29598	<geoprocessing describe geometry object object at 0x0F02CE60>	MN	1602	38	111	 160.02	1000	02	4	10029	E053	23	2820	1	11	1Q	72 EAST 97 STREET	R7-2	 	 	 	C1-5	 	 	 	 	 	N	C7	04	0	P	MSMC RESIDENTIAL REAL	5046	28922	6622	22300	0	2500	0	0	0	4122	2	1	6.0	27	30	50.0	100.92	50.0	92.0	E	2	N	3	2	295200.0	923850.0	45346.0	216571.0	1920	0	0	 	 	5.73	3.44	0.0	6.5	1	1016020038.0	0	016002	997406	226065	6b	 	108S043	10602	 	0.0	 	1	16V2	0	318.627892357	5663.91951446
29599	<geoprocessing describe geometry object object at 0x0F02CC40>	MN	1602	46	111	 160.02	1000	02	4	10029	E053	23	2820	1	11	1Q	52 EAST 97 STREET	R7-2	 	 	 	 	 	 	 	 	 	N	C1	02	0	 	MSMC RESIDENTIAL REAL	10092	47300	6524	40776	0	0	0	0	0	6524	2	1	6.0	92	92	100.0	100.92	100.0	88.0	 	2	N	5	2	303300.0	2237400.0	109188.0	1001715.0	1924	1986	0	 	 	4.69	3.44	0.0	6.5	1	1016020046.0	0	016002	997208	226174	6b	 	108S043	10602	 	0.0	 	1	16V2	0	409.067696517	10446.2796
29603	<geoprocessing describe geometry object object at 0x0F02C100>	MN	1602	42	111	 160.02	1000	02	4	10029	E053	23	2820	1	11	1Q	64 EAST 97 STREET	R7-2	 	 	 	 	 	 	 	 	 	N	C7	04	0	 	MSMC RESIDENTIAL REAL	5046	23222	2537	20685	0	675	0	0	0	1862	2	1	6.0	34	35	50.0	100.92	50.0	88.0	 	3	N	5	2	136350.0	994950.0	50119.0	536367.0	1920	1988	0	 	 	4.6	3.44	0.0	6.5	1	1016020042.0	0	016002	997317	226114	6b	 	108S043	10602	 	0.0	 	1	16V2	0	311.91898956	5309.15570858
29607	<geoprocessing describe geometry object object at 0x0F02CF80>	MN	1603	39	111	 160.02	2000	02	4	10029	E053	23	2820	1	11	1Q	50 EAST 98 STREET	R7-2	 	 	 	C1-5	 	 	 	 	 	N	H8	08	0	X	MSMC RESIDENTIAL REAL	30781	240000	0	0	0	0	0	0	0	0	2	1	15.0	0	1	305.0	100.92	295.0	70.0	 	1	N	3	0	6925950.0	9105750.0	6925950.0	9105750.0	1984	0	0	 	 	7.8	3.44	0.0	6.5	1	1016030039.0	0	016002	997421	226355	6b	 	108S043	10602	 	0.0	 	1	16V2	0	826.849788639	32350.0238744
29624	<geoprocessing describe geometry object object at 0x0F02CEC0>	MN	1607	7502	111	 168	2001	04	8	10029	E053	23	2810	1	11	 	1212 5 AVENUE	R9	 	 	 	 	 	PI	 	 	 	N	RM	04	1	 	 	10092	96980	2508	94472	2508	0	0	0	0	0	2	1	16.0	54	56	100.92	100.0	100.0	90.0	 	0	N	3	5	594002.0	12406952.0	2360.0	2360.0	1925	0	0	 	 	9.61	7.52	0.0	10.0	1	1016077502.0	2278	0168	997313	227611	6b	 	108S044	10602	 	1016070069.0	12/22/2011	1	16V2	7	414.053945275	10714.9241116
29629	<geoprocessing describe geometry object object at 0x0F02C9C0>	MN	1603	33	111	 160.02	2000	02	4	10029	E053	23	2820	1	11	1Q	67 EAST 97 STREET	R7-2	 	 	 	C1-5	 	 	 	 	 	N	C1	02	0	 	MSMC RESIDENTIAL REAL	2624	11244	2811	8433	0	0	0	0	0	2811	2	1	6.0	12	12	26.0	100.92	26.0	88.0	 	3	N	5	2	25650.0	348750.0	2326.0	29916.0	1920	0	0	 	 	4.29	3.44	0.0	6.5	1	1016030033.0	0	016002	997426	226233	6b	 	108S043	10602	 	0.0	 	1	16V2	0	262.142156767	2774.99693774
